stop_sequence,from_id,to_id,scheduled_time,status,line,type,day,part_of_the_day,delay
1.0,148,148,3,departed,Northeast Corrdr,NJ Transit,Thursday,late_night,1
1.0,123,123,3,departed,Bergen Co. Line ,NJ Transit,Thursday,late_night,0
2.0,148,32905,3,departed,Northeast Corrdr,NJ Transit,Thursday,late_night,1
1.0,74,74,3,departed,No Jersey Coast,NJ Transit,Thursday,late_night,0
3.0,32905,125,4,departed,Northeast Corrdr,NJ Transit,Thursday,,0
2.0,74,73,4,departed,No Jersey Coast,NJ Transit,Thursday,,0
3.0,73,130,4,departed,No Jersey Coast,NJ Transit,Thursday,,0
2.0,123,113,4,departed,Bergen Co. Line ,NJ Transit,Thursday,,0
4.0,130,85,4,departed,No Jersey Coast,NJ Transit,Thursday,,0
4.0,125,103,4,departed,Northeast Corrdr,NJ Transit,Thursday,,0
1.0,35,35,4,departed,Morristown Line,NJ Transit,Thursday,,0
1.0,105,105,4,departed,Northeast Corrdr,NJ Transit,Thursday,,0
5.0,103,38,4,departed,Northeast Corrdr,NJ Transit,Thursday,,0
5.0,85,59,4,departed,No Jersey Coast,NJ Transit,Thursday,,0
3.0,113,86,4,departed,Bergen Co. Line ,NJ Transit,Thursday,,0
1.0,148,148,4,departed,Northeast Corrdr,NJ Transit,Thursday,,0
6.0,59,37169,4,departed,No Jersey Coast,NJ Transit,Thursday,,0
6.0,38,84,4,departed,Northeast Corrdr,NJ Transit,Thursday,,0
2.0,35,34,4,departed,Morristown Line,NJ Transit,Thursday,,0
1.0,74,74,4,departed,No Jersey Coast,NJ Transit,Thursday,,0
3.0,34,94,4,departed,Morristown Line,NJ Transit,Thursday,,0
2.0,105,38187,4,departed,Northeast Corrdr,NJ Transit,Thursday,,0
4.0,86,26,4,departed,Bergen Co. Line ,NJ Transit,Thursday,,0
7.0,84,83,4,departed,Northeast Corrdr,NJ Transit,Thursday,,1
2.0,148,32905,4,departed,Northeast Corrdr,NJ Transit,Thursday,,0
1.0,105,105,4,departed,No Jersey Coast,NJ Transit,Thursday,,0
4.0,94,91,4,departed,Morristown Line,NJ Transit,Thursday,,0
1.0,129,129,4,departed,Raritan Valley,NJ Transit,Thursday,,0
2.0,74,73,4,departed,No Jersey Coast,NJ Transit,Thursday,,0
1.0,10,10,4,departed,Atl. City Line,NJ Transit,Thursday,,0
7.0,37169,139,4,departed,No Jersey Coast,NJ Transit,Thursday,,0
8.0,83,127,4,departed,Northeast Corrdr,NJ Transit,Thursday,,0
2.0,129,138,4,departed,Raritan Valley,NJ Transit,Thursday,,0
3.0,32905,125,4,departed,Northeast Corrdr,NJ Transit,Thursday,,0
5.0,91,92,4,departed,Morristown Line,NJ Transit,Thursday,,0
1.0,123,123,4,departed,Main Line,NJ Transit,Thursday,,0
1.0,49,49,4,departed,Gladstone Branch,NJ Transit,Thursday,,0
3.0,73,130,4,departed,No Jersey Coast,NJ Transit,Thursday,,0
8.0,139,119,4,departed,No Jersey Coast,NJ Transit,Thursday,,0
3.0,38187,107,4,departed,Northeast Corrdr,NJ Transit,Thursday,,0
9.0,127,70,4,departed,Northeast Corrdr,NJ Transit,Thursday,,1
6.0,92,30,4,departed,Morristown Line,NJ Transit,Thursday,,0
2.0,49,117,4,departed,Gladstone Branch,NJ Transit,Thursday,,0
3.0,138,24,4,departed,Raritan Valley,NJ Transit,Thursday,,0
5.0,26,135,4,departed,Bergen Co. Line ,NJ Transit,Thursday,,0
4.0,24,21,4,departed,Raritan Valley,NJ Transit,Thursday,,0
2.0,10,2,4,departed,Atl. City Line,NJ Transit,Thursday,,0
4.0,107,37953,4,departed,Northeast Corrdr,NJ Transit,Thursday,,0
4.0,130,85,4,departed,No Jersey Coast,NJ Transit,Thursday,,0
9.0,119,158,4,departed,No Jersey Coast,NJ Transit,Thursday,,0
7.0,30,77,4,departed,Morristown Line,NJ Transit,Thursday,,0
3.0,117,45,4,departed,Gladstone Branch,NJ Transit,Thursday,,0
10.0,70,41,4,departed,Northeast Corrdr,NJ Transit,Thursday,,1
1.0,38081,38081,4,departed,Montclair-Boonton,NJ Transit,Thursday,,0
5.0,37953,109,4,departed,Northeast Corrdr,NJ Transit,Thursday,,0
2.0,105,107,4,departed,No Jersey Coast,NJ Transit,Thursday,,0
1.0,125,125,4,departed,Princeton Shuttle,NJ Transit,Thursday,,0
8.0,77,27,4,departed,Morristown Line,NJ Transit,Thursday,,0
5.0,85,59,4,departed,No Jersey Coast,NJ Transit,Thursday,,0
11.0,41,37953,4,departed,Northeast Corrdr,NJ Transit,Thursday,,1
6.0,109,41,4,departed,Northeast Corrdr,NJ Transit,Thursday,,0
5.0,21,36,4,departed,Raritan Valley,NJ Transit,Thursday,,0
1.0,144,144,4,departed,Main Line,NJ Transit,Thursday,,0
4.0,45,18,4,departed,Gladstone Branch,NJ Transit,Thursday,,0
4.0,125,103,4,departed,Northeast Corrdr,NJ Transit,Thursday,,0
1.0,13,13,4,departed,No Jersey Coast,NJ Transit,Thursday,,0
2.0,38081,150,4,departed,Montclair-Boonton,NJ Transit,Thursday,,0
1.0,105,105,4,cancelled,Northeast Corrdr,NJ Transit,Thursday,,0
2.0,125,124,4,estimated,Princeton Shuttle,NJ Transit,Thursday,,0
6.0,59,37169,4,departed,No Jersey Coast,NJ Transit,Thursday,,0
5.0,18,12,4,departed,Gladstone Branch,NJ Transit,Thursday,,0
2.0,13,122,4,departed,No Jersey Coast,NJ Transit,Thursday,,0
2.0,144,78,4,departed,Main Line,NJ Transit,Thursday,,0
3.0,2,39,4,departed,Atl. City Line,NJ Transit,Thursday,,0
3.0,150,153,4,departed,Montclair-Boonton,NJ Transit,Thursday,,0
3.0,107,37953,4,departed,No Jersey Coast,NJ Transit,Thursday,,0
6.0,135,57,4,departed,Bergen Co. Line ,NJ Transit,Thursday,,0
9.0,27,145,4,departed,Morristown Line,NJ Transit,Thursday,,0
2.0,123,113,4,departed,Main Line,NJ Transit,Thursday,,0
6.0,36,120,4,departed,Raritan Valley,NJ Transit,Thursday,,0
12.0,37953,107,4,departed,Northeast Corrdr,NJ Transit,Thursday,,1
7.0,41,70,4,departed,Northeast Corrdr,NJ Transit,Thursday,,1
4.0,37953,109,4,departed,No Jersey Coast,NJ Transit,Thursday,,0
1.0,63,63,4,departed,Morristown Line,NJ Transit,Thursday,,0
3.0,78,38417,4,departed,Main Line,NJ Transit,Thursday,,0
4.0,153,152,4,departed,Montclair-Boonton,NJ Transit,Thursday,,0
6.0,12,76,4,departed,Gladstone Branch,NJ Transit,Thursday,,0
